"","Country","Year","Indicator","RCode","Region","CCode","Male","Female","Both_Sexes"
"54","Armenia",2015,"Life expectancy at birth (years)","EUR","Europe","ARM",70.88,77.83,74.51
"55","Armenia",2019,"Life expectancy at age 60 (years)","EUR","Europe","ARM",18.24,22.15,20.41
"56","Armenia",2019,"Life expectancy at birth (years)","EUR","Europe","ARM",72.49,79.16,76.03
"57","Australia",2000,"Life expectancy at age 60 (years)","WPR","Western Pacific","AUS",21.22,24.85,23.11
"58","Australia",2000,"Life expectancy at birth (years)","WPR","Western Pacific","AUS",77.13,82.24,79.69
"59","Australia",2010,"Life expectancy at age 60 (years)","WPR","Western Pacific","AUS",23.29,26.13,24.74
"60","Australia",2010,"Life expectancy at birth (years)","WPR","Western Pacific","AUS",79.84,83.99,81.9
"61","Australia",2015,"Life expectancy at age 60 (years)","WPR","Western Pacific","AUS",23.72,26.27,25.01
"62","Australia",2015,"Life expectancy at birth (years)","WPR","Western Pacific","AUS",80.41,84.17,82.28
"63","Australia",2019,"Life expectancy at age 60 (years)","WPR","Western Pacific","AUS",24.37,26.83,25.62
"64","Australia",2019,"Life expectancy at birth (years)","WPR","Western Pacific","AUS",81.25,84.84,83.04
"65","Austria",2000,"Life expectancy at age 60 (years)","EUR","Europe","AUT",19.73,23.69,21.95
"66","Austria",2000,"Life expectancy at birth (years)","EUR","Europe","AUT",75.09,80.98,78.17
"67","Austria",2010,"Life expectancy at age 60 (years)","EUR","Europe","AUT",21.44,25.16,23.43
"68","Austria",2010,"Life expectancy at birth (years)","EUR","Europe","AUT",77.65,82.99,80.39
"69","Austria",2015,"Life expectancy at age 60 (years)","EUR","Europe","AUT",21.8,25.21,23.59
"70","Austria",2015,"Life expectancy at birth (years)","EUR","Europe","AUT",78.6,83.29,80.98
"71","Austria",2019,"Life expectancy at age 60 (years)","EUR","Europe","AUT",22.43,25.6,24.09
"72","Austria",2019,"Life expectancy at birth (years)","EUR","Europe","AUT",79.44,83.78,81.65
"73","Azerbaijan",2000,"Life expectancy at age 60 (years)","EUR","Europe","AZE",15.12,17.88,16.61
"74","Azerbaijan",2000,"Life expectancy at birth (years)","EUR","Europe","AZE",62.57,68.5,65.52
"75","Azerbaijan",2010,"Life expectancy at age 60 (years)","EUR","Europe","AZE",14.95,17.64,16.36
"76","Azerbaijan",2010,"Life expectancy at birth (years)","EUR","Europe","AZE",66.29,71.83,69.03
"77","Azerbaijan",2015,"Life expectancy at age 60 (years)","EUR","Europe","AZE",15.14,17.95,16.62
"78","Azerbaijan",2015,"Life expectancy at birth (years)","EUR","Europe","AZE",67.94,73.43,70.67
"79","Azerbaijan",2019,"Life expectancy at age 60 (years)","EUR","Europe","AZE",15.65,18.32,17.06
"80","Azerbaijan",2019,"Life expectancy at birth (years)","EUR","Europe","AZE",68.78,74.09,71.43
"81","Bahamas",2000,"Life expectancy at age 60 (years)","AMR","Americas","BHS",18.25,21.37,19.95
"82","Bahamas",2000,"Life expectancy at birth (years)","AMR","Americas","BHS",67.64,74.19,70.94
"83","Bahamas",2010,"Life expectancy at age 60 (years)","AMR","Americas","BHS",19.01,22.22,20.7
"84","Bahamas",2010,"Life expectancy at birth (years)","AMR","Americas","BHS",69.64,76.25,72.96
"85","Bahamas",2015,"Life expectancy at age 60 (years)","AMR","Americas","BHS",19.3,22.28,20.88
"86","Bahamas",2015,"Life expectancy at birth (years)","AMR","Americas","BHS",69.73,76.08,72.92
"87","Bahamas",2019,"Life expectancy at age 60 (years)","AMR","Americas","BHS",19.12,22.39,20.84
"88","Bahamas",2019,"Life expectancy at birth (years)","AMR","Americas","BHS",69.85,76.59,73.21
"89","Bahrain",2000,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","BHR",14.46,15.61,14.97
"90","Bahrain",2000,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","BHR",69.55,71.77,70.47
"91","Bahrain",2010,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","BHR",17.38,18.27,17.82
"92","Bahrain",2010,"Life expectancy at birth (years)","EMR","Eastern Mediterranean","BHR",73.85,75.34,74.52
"93","Bahrain",2015,"Life expectancy at age 60 (years)","EMR","Eastern Mediterranean","BHR",19.39,19.95,19.67
